id,name,web_name,surname_key,team,position,status,now_cost,total_points,minutes,goals_scored,assists,TotalShots,ShotsOnTarget,Passes,AccuratePasses,FirstHalfShots
1,David Raya Martín,Raya,raya,Arsenal,GKP,a,59,53,990,0,0,,,,,
2,Kepa Arrizabalaga Revuelta,Arrizabalaga,arrizabalaga,Arsenal,GKP,a,42,0,0,0,0,,,,,
3,Karl Hein,Hein,hein,Arsenal,GKP,u,40,0,0,0,0,,,,,
4,Tommy Setford,Setford,setford,Arsenal,GKP,a,40,0,0,0,0,,,,,
5,Gabriel dos Santos Magalhães,Gabriel,gabriel,Arsenal,DEF,a,66,81,990,1,2,,,,,
6,William Saliba,Saliba,saliba,Arsenal,DEF,a,60,39,724,0,0,,,706.0,666.0,
7,Riccardo Calafiori,Calafiori,calafiori,Arsenal,DEF,a,58,61,856,1,2,19.0,,,,12.0
8,Jurriën Timber,J.Timber,timber,Arsenal,DEF,a,61,67,881,2,2,,,,,
9,Jakub Kiwior,Kiwior,kiwior,Arsenal,DEF,u,54,0,0,0,0,,,,,
10,Myles Lewis-Skelly,Lewis-Skelly,skelly,Arsenal,DEF,a,51,6,86,0,0,,,,,
11,Benjamin White,White,white,Arsenal,DEF,a,53,6,70,0,0,25.0,8.0,,,11.0
13,Brayden Clarke,Clarke,clarke,Arsenal,DEF,a,39,0,0,0,0,,,,,
14,Maldini Kacurri,Kacurri,kacurri,Arsenal,DEF,u,39,0,0,0,0,,,,,
15,Josh Nichols,Nichols,nichols,Arsenal,DEF,a,39,0,0,0,0,,,,,
16,Bukayo Saka,Saka,saka,Arsenal,MID,a,101,45,681,3,0,17.0,8.0,,,8.0
17,Martin Ødegaard,Ødegaard,degaard,Arsenal,MID,i,78,13,201,0,1,,,,,
18,Noni Madueke,Madueke,madueke,Arsenal,MID,i,68,10,304,0,0,,,,,
19,Gabriel Martinelli Silva,Martinelli,martinelli,Arsenal,MID,d,68,16,214,1,0,,,,,
20,Leandro Trossard,Trossard,trossard,Arsenal,MID,a,69,40,642,2,2,15.0,,,,
21,Declan Rice,Rice,rice,Arsenal,MID,a,69,65,893,2,4,,,651.0,591.0,7.0
22,Mikel Merino Zazón,Merino,merino,Arsenal,MID,a,59,23,413,1,1,,,,,
23,Fábio Ferreira Vieira,Fábio Vieira,vieira,Arsenal,MID,u,54,0,0,0,0,,,,,
24,Christian Nørgaard,Nørgaard,rgaard,Arsenal,MID,a,52,2,14,0,0,,,,,
25,Ethan Nwaneri,Nwaneri,nwaneri,Arsenal,MID,a,51,7,163,0,0,,,,,
26,Martín Zubimendi Ibáñez,Zubimendi,zubimendi,Arsenal,MID,a,54,48,937,2,1,,,702.0,624.0,
28,Ismeal Kabia,Kabia,kabia,Arsenal,MID,u,45,0,0,0,0,,,,,
29,Albert Sambi Lokonga,Sambi,sambi,Arsenal,MID,u,45,0,0,0,0,,,,,
30,Kai Havertz,Havertz,havertz,Arsenal,FWD,i,73,1,30,0,0,,,,,
31,Gabriel Fernando de Jesus,G.Jesus,jesus,Arsenal,FWD,i,64,0,0,0,0,,,,,
266,Eberechi Eze,Eze,eze,Arsenal,MID,a,76,41,700,1,3,25.0,8.0,,,18.0
662,Cristhian Mosquera,Mosquera,mosquera,Arsenal,DEF,a,54,14,294,0,0,,,,,
666,Viktor Gyökeres,Gyökeres,gyokeres,Arsenal,FWD,d,89,37,801,4,0,20.0,8.0,,,9.0
700,Max Dowman,Dowman,dowman,Arsenal,MID,a,43,5,27,0,1,,,,,
711,Andre Harriman-Annous,Harriman-Annous,annous,Arsenal,MID,a,45,0,0,0,0,,,,,
725,Piero Hincapié,Hincapie,hincapie,Arsenal,DEF,a,54,2,26,0,0,,,,,
32,Emiliano Martínez Romero,Martinez,martinez,Aston Villa,GKP,a,50,40,810,0,0,,,,,
33,Marco Bizot,M.Bizot,bizot,Aston Villa,GKP,a,43,7,180,0,0,,,,,
34,Joe Gauci,Gauci,gauci,Aston Villa,GKP,u,40,0,0,0,0,,,,,
35,Filip Marschall,Marschall,marschall,Aston Villa,GKP,u,40,0,0,0,0,,,,,
36,Matty Cash,Cash,cash,Aston Villa,DEF,a,46,52,966,2,0,,5.0,,,7.0
