id,name,web_name,surname_key,team,position,status,now_cost,total_points,minutes,goals_scored,assists,TotalShots,ShotsOnTarget,Passes,AccuratePasses,FirstHalfShots
6,William Saliba,Saliba,saliba,Arsenal,DEF,a,60,39,724,0,0,,,706.0,666.0,
7,Riccardo Calafiori,Calafiori,calafiori,Arsenal,DEF,a,58,61,856,1,2,19.0,,,,12.0
11,Benjamin White,White,white,Arsenal,DEF,a,53,6,70,0,0,25.0,8.0,,,11.0
16,Bukayo Saka,Saka,saka,Arsenal,MID,a,101,45,681,3,0,17.0,8.0,,,8.0
20,Leandro Trossard,Trossard,trossard,Arsenal,MID,a,69,40,642,2,2,15.0,,,,
21,Declan Rice,Rice,rice,Arsenal,MID,a,69,65,893,2,4,,,651.0,591.0,7.0
26,Martín Zubimendi Ibáñez,Zubimendi,zubimendi,Arsenal,MID,a,54,48,937,2,1,,,702.0,624.0,
266,Eberechi Eze,Eze,eze,Arsenal,MID,a,76,41,700,1,3,25.0,8.0,,,18.0
666,Viktor Gyökeres,Gyökeres,gyokeres,Arsenal,FWD,d,89,37,801,4,0,20.0,8.0,,,9.0
36,Matty Cash,Cash,cash,Aston Villa,DEF,a,46,52,966,2,0,,5.0,,,7.0
38,Ezri Konsa Ngoyo,Konsa,konsa,Aston Villa,DEF,a,44,33,875,0,0,,,614.0,582.0,
47,Morgan Rogers,Rogers,rogers,Aston Villa,MID,a,68,35,976,1,2,,6.0,,,
50,Emiliano Buendía Stati,Buendía,buendia,Aston Villa,MID,a,53,39,435,3,2,15.0,,,,
64,Ollie Watkins,Watkins,watkins,Aston Villa,FWD,a,85,27,866,1,0,17.0,,,,10.0
200,Jaidon Anthony,Anthony,anthony,Burnley,MID,a,56,49,886,4,1,14.0,8.0,,,
205,Josh Cullen,Cullen,cullen,Burnley,MID,a,50,53,941,2,1,,5.0,531.0,459.0,
66,Norberto Murara Neto,Neto,neto,Bournemouth,GKP,u,45,0,0,0,0,15.0,6.0,,,
72,Marcos Senesi Barón,Senesi,senesi,Bournemouth,DEF,a,50,58,977,0,2,,,662.0,527.0,
82,Antoine Semenyo,Semenyo,semenyo,Bournemouth,MID,a,81,75,990,6,4,23.0,14.0,,,10.0
